"rep","importation","facemask","infections"
86,3,"0.4",906
87,3,"0.4",319
88,3,"0.4",785
89,3,"0.4",524
90,3,"0.4",524
91,3,"0.4",875
92,3,"0.4",955
93,3,"0.4",595
94,3,"0.4",733
95,3,"0.4",477
96,3,"0.4",255
97,3,"0.4",727
98,3,"0.4",522
99,3,"0.4",589
100,3,"0.4",777
1,1,"0.6",0
2,1,"0.6",2
3,1,"0.6",0
4,1,"0.6",183
5,1,"0.6",371
6,1,"0.6",308
7,1,"0.6",0
8,1,"0.6",2
9,1,"0.6",176
10,1,"0.6",0
11,1,"0.6",2
12,1,"0.6",4
13,1,"0.6",172
14,1,"0.6",326
15,1,"0.6",1
16,1,"0.6",0
17,1,"0.6",0
18,1,"0.6",4
19,1,"0.6",170
20,1,"0.6",0
21,1,"0.6",3
22,1,"0.6",1
23,1,"0.6",0
24,1,"0.6",0
25,1,"0.6",148
26,1,"0.6",167
27,1,"0.6",7
28,1,"0.6",0
29,1,"0.6",4
30,1,"0.6",1
31,1,"0.6",0
32,1,"0.6",4
33,1,"0.6",0
34,1,"0.6",178
35,1,"0.6",0
36,1,"0.6",2
37,1,"0.6",0
38,1,"0.6",0
39,1,"0.6",332
40,1,"0.6",0
41,1,"0.6",156
42,1,"0.6",5
43,1,"0.6",0
44,1,"0.6",0
45,1,"0.6",0
46,1,"0.6",0
47,1,"0.6",1
48,1,"0.6",1
49,1,"0.6",151
50,1,"0.6",0
51,1,"0.6",0
52,1,"0.6",189
53,1,"0.6",146
54,1,"0.6",0
55,1,"0.6",1
56,1,"0.6",155
57,1,"0.6",154
58,1,"0.6",1
59,1,"0.6",164
60,1,"0.6",164
61,1,"0.6",0
62,1,"0.6",8
63,1,"0.6",2
64,1,"0.6",107
65,1,"0.6",0
66,1,"0.6",0
67,1,"0.6",362
68,1,"0.6",0
69,1,"0.6",3
70,1,"0.6",2
71,1,"0.6",0
72,1,"0.6",100
73,1,"0.6",0
74,1,"0.6",0
75,1,"0.6",0
76,1,"0.6",185
77,1,"0.6",0
78,1,"0.6",4
79,1,"0.6",1
80,1,"0.6",1
81,1,"0.6",10
82,1,"0.6",0
83,1,"0.6",2
84,1,"0.6",150
85,1,"0.6",0
86,1,"0.6",1
87,1,"0.6",0
88,1,"0.6",0
89,1,"0.6",1
90,1,"0.6",0
91,1,"0.6",0
92,1,"0.6",4
93,1,"0.6",0
94,1,"0.6",0
95,1,"0.6",1
96,1,"0.6",137
97,1,"0.6",77
98,1,"0.6",159
99,1,"0.6",3
100,1,"0.6",1
1,2,"0.6",1
2,2,"0.6",1
3,2,"0.6",474
4,2,"0.6",141
5,2,"0.6",10
6,2,"0.6",1
7,2,"0.6",460
8,2,"0.6",171
9,2,"0.6",149
10,2,"0.6",0
11,2,"0.6",3
12,2,"0.6",13
13,2,"0.6",0
14,2,"0.6",0
15,2,"0.6",137
16,2,"0.6",0
17,2,"0.6",170
18,2,"0.6",17
19,2,"0.6",17
20,2,"0.6",27
21,2,"0.6",2
22,2,"0.6",0
23,2,"0.6",58
24,2,"0.6",158
25,2,"0.6",189
26,2,"0.6",4
27,2,"0.6",0
28,2,"0.6",26
29,2,"0.6",179
30,2,"0.6",0
31,2,"0.6",317
32,2,"0.6",144
33,2,"0.6",165
34,2,"0.6",61
35,2,"0.6",8
36,2,"0.6",0
37,2,"0.6",19
38,2,"0.6",463
39,2,"0.6",0
40,2,"0.6",0
41,2,"0.6",10
42,2,"0.6",157
43,2,"0.6",2
44,2,"0.6",171
45,2,"0.6",185
46,2,"0.6",80
47,2,"0.6",108
48,2,"0.6",3
49,2,"0.6",493
50,2,"0.6",2
51,2,"0.6",177
52,2,"0.6",194
53,2,"0.6",267
54,2,"0.6",0
55,2,"0.6",3
56,2,"0.6",0
57,2,"0.6",369
58,2,"0.6",1
59,2,"0.6",55
60,2,"0.6",159
61,2,"0.6",1
62,2,"0.6",10
63,2,"0.6",1
64,2,"0.6",111
65,2,"0.6",0
66,2,"0.6",9
67,2,"0.6",3
68,2,"0.6",0
69,2,"0.6",282
70,2,"0.6",228
71,2,"0.6",12
72,2,"0.6",3
73,2,"0.6",155
74,2,"0.6",175
75,2,"0.6",184
76,2,"0.6",341
77,2,"0.6",5
78,2,"0.6",434
79,2,"0.6",0
80,2,"0.6",1
81,2,"0.6",177
82,2,"0.6",227
83,2,"0.6",0
84,2,"0.6",0
85,2,"0.6",583
86,2,"0.6",120
87,2,"0.6",178
88,2,"0.6",360
89,2,"0.6",272
90,2,"0.6",78
91,2,"0.6",157
92,2,"0.6",2
93,2,"0.6",193
94,2,"0.6",4
95,2,"0.6",181
96,2,"0.6",180
97,2,"0.6",0
98,2,"0.6",587
99,2,"0.6",1
100,2,"0.6",267
1,3,"0.6",492
2,3,"0.6",678
3,3,"0.6",659
4,3,"0.6",691
5,3,"0.6",539
6,3,"0.6",367
7,3,"0.6",211
8,3,"0.6",171
9,3,"0.6",203
10,3,"0.6",704
11,3,"0.6",510
12,3,"0.6",599
13,3,"0.6",378
14,3,"0.6",585
15,3,"0.6",514
16,3,"0.6",611
17,3,"0.6",668
18,3,"0.6",723
19,3,"0.6",366
20,3,"0.6",485
21,3,"0.6",601
22,3,"0.6",470
23,3,"0.6",487
24,3,"0.6",445
25,3,"0.6",674
26,3,"0.6",395
27,3,"0.6",315
28,3,"0.6",421
29,3,"0.6",752
30,3,"0.6",518
31,3,"0.6",682
32,3,"0.6",773
33,3,"0.6",764
34,3,"0.6",601
35,3,"0.6",462
36,3,"0.6",859
37,3,"0.6",549
38,3,"0.6",555
39,3,"0.6",503
40,3,"0.6",363
41,3,"0.6",336
42,3,"0.6",572
43,3,"0.6",465
44,3,"0.6",357
45,3,"0.6",324
46,3,"0.6",416
47,3,"0.6",703
48,3,"0.6",659
49,3,"0.6",669
50,3,"0.6",548
51,3,"0.6",296
52,3,"0.6",348
53,3,"0.6",434
54,3,"0.6",452
55,3,"0.6",651
56,3,"0.6",548
57,3,"0.6",462
58,3,"0.6",28
59,3,"0.6",762
60,3,"0.6",580
61,3,"0.6",910
62,3,"0.6",499
63,3,"0.6",470
64,3,"0.6",535
65,3,"0.6",534
66,3,"0.6",626
67,3,"0.6",859
68,3,"0.6",593
69,3,"0.6",253
70,3,"0.6",829
71,3,"0.6",512
72,3,"0.6",408
73,3,"0.6",266
74,3,"0.6",412
75,3,"0.6",690
76,3,"0.6",332
77,3,"0.6",651
78,3,"0.6",480
79,3,"0.6",402
80,3,"0.6",489
81,3,"0.6",381
82,3,"0.6",540
83,3,"0.6",479
84,3,"0.6",604
85,3,"0.6",171
86,3,"0.6",301
87,3,"0.6",320
88,3,"0.6",796
89,3,"0.6",384
90,3,"0.6",260
91,3,"0.6",188
92,3,"0.6",722
93,3,"0.6",217
94,3,"0.6",783
95,3,"0.6",371
96,3,"0.6",651
97,3,"0.6",168
98,3,"0.6",797
99,3,"0.6",353
100,3,"0.6",183
1,1,"0.8",6
2,1,"0.8",1
3,1,"0.8",7
4,1,"0.8",2
5,1,"0.8",0
6,1,"0.8",77
7,1,"0.8",0
8,1,"0.8",0
9,1,"0.8",1
10,1,"0.8",0
11,1,"0.8",0
12,1,"0.8",0
13,1,"0.8",2
14,1,"0.8",0
15,1,"0.8",0
16,1,"0.8",1
17,1,"0.8",0
18,1,"0.8",0
19,1,"0.8",1
20,1,"0.8",0
21,1,"0.8",0
22,1,"0.8",15
23,1,"0.8",1
24,1,"0.8",0
25,1,"0.8",283
26,1,"0.8",0
27,1,"0.8",105
28,1,"0.8",0
29,1,"0.8",0
30,1,"0.8",1
31,1,"0.8",0
32,1,"0.8",142
33,1,"0.8",0
34,1,"0.8",2
35,1,"0.8",3
36,1,"0.8",4
37,1,"0.8",155
38,1,"0.8",4
39,1,"0.8",0
40,1,"0.8",0
41,1,"0.8",120
42,1,"0.8",0
43,1,"0.8",1
44,1,"0.8",14
45,1,"0.8",0
46,1,"0.8",162
47,1,"0.8",0
48,1,"0.8",128
49,1,"0.8",0
50,1,"0.8",3
51,1,"0.8",7
52,1,"0.8",1
53,1,"0.8",187
54,1,"0.8",0
55,1,"0.8",2
56,1,"0.8",23
57,1,"0.8",9
58,1,"0.8",0
59,1,"0.8",124
60,1,"0.8",2
61,1,"0.8",3
62,1,"0.8",2
63,1,"0.8",8
64,1,"0.8",103
65,1,"0.8",0
66,1,"0.8",176
67,1,"0.8",136
68,1,"0.8",0
69,1,"0.8",0
70,1,"0.8",0
71,1,"0.8",5
72,1,"0.8",0
73,1,"0.8",0
74,1,"0.8",0
75,1,"0.8",4
76,1,"0.8",17
77,1,"0.8",0
78,1,"0.8",1
79,1,"0.8",291
80,1,"0.8",0
81,1,"0.8",0
82,1,"0.8",3
83,1,"0.8",1
84,1,"0.8",1
85,1,"0.8",7
86,1,"0.8",129
87,1,"0.8",103
88,1,"0.8",2
89,1,"0.8",0
90,1,"0.8",130
91,1,"0.8",0
92,1,"0.8",0
93,1,"0.8",1
94,1,"0.8",0
95,1,"0.8",0
96,1,"0.8",0
97,1,"0.8",0
98,1,"0.8",0
99,1,"0.8",0
100,1,"0.8",149
1,2,"0.8",1
2,2,"0.8",0
3,2,"0.8",158
4,2,"0.8",2
5,2,"0.8",6
6,2,"0.8",1
7,2,"0.8",106
8,2,"0.8",35
9,2,"0.8",0
10,2,"0.8",7
11,2,"0.8",6
12,2,"0.8",2
13,2,"0.8",0
14,2,"0.8",133
15,2,"0.8",336
16,2,"0.8",218
17,2,"0.8",162
18,2,"0.8",6
19,2,"0.8",51
20,2,"0.8",4
21,2,"0.8",13
22,2,"0.8",1
23,2,"0.8",143
24,2,"0.8",11
25,2,"0.8",279
26,2,"0.8",20
27,2,"0.8",149
28,2,"0.8",13
29,2,"0.8",0
30,2,"0.8",0
31,2,"0.8",5
32,2,"0.8",0
33,2,"0.8",119
34,2,"0.8",37
35,2,"0.8",111
36,2,"0.8",1
37,2,"0.8",79
38,2,"0.8",112
39,2,"0.8",2
40,2,"0.8",2
41,2,"0.8",127
42,2,"0.8",0
43,2,"0.8",4
44,2,"0.8",110
45,2,"0.8",1
46,2,"0.8",0
47,2,"0.8",176
48,2,"0.8",299
49,2,"0.8",155
50,2,"0.8",8
51,2,"0.8",2
52,2,"0.8",1
53,2,"0.8",1
54,2,"0.8",0
55,2,"0.8",12
56,2,"0.8",121
57,2,"0.8",1
58,2,"0.8",5
59,2,"0.8",0
60,2,"0.8",94
61,2,"0.8",264
62,2,"0.8",128
63,2,"0.8",270
64,2,"0.8",29
65,2,"0.8",55
66,2,"0.8",4
67,2,"0.8",169
68,2,"0.8",263
69,2,"0.8",0
70,2,"0.8",7
71,2,"0.8",18
72,2,"0.8",149
73,2,"0.8",457
74,2,"0.8",269
75,2,"0.8",165
76,2,"0.8",5
77,2,"0.8",171
78,2,"0.8",78
79,2,"0.8",0
80,2,"0.8",0
81,2,"0.8",0
82,2,"0.8",4
83,2,"0.8",133
84,2,"0.8",27
85,2,"0.8",1
86,2,"0.8",27
87,2,"0.8",140
88,2,"0.8",0
89,2,"0.8",4
90,2,"0.8",450
91,2,"0.8",301
92,2,"0.8",93
93,2,"0.8",17
94,2,"0.8",135
95,2,"0.8",112
96,2,"0.8",249
97,2,"0.8",0
98,2,"0.8",1
99,2,"0.8",4
100,2,"0.8",69
1,3,"0.8",246
2,3,"0.8",372
3,3,"0.8",203
4,3,"0.8",622
5,3,"0.8",159
6,3,"0.8",26
7,3,"0.8",377
8,3,"0.8",289
9,3,"0.8",500
10,3,"0.8",348
11,3,"0.8",538
12,3,"0.8",387
13,3,"0.8",305
14,3,"0.8",469
15,3,"0.8",754
16,3,"0.8",366
17,3,"0.8",280
18,3,"0.8",199
19,3,"0.8",337
20,3,"0.8",208
21,3,"0.8",228
22,3,"0.8",327
23,3,"0.8",709
24,3,"0.8",179
25,3,"0.8",601
26,3,"0.8",368
27,3,"0.8",328
28,3,"0.8",517
29,3,"0.8",579
30,3,"0.8",120
31,3,"0.8",614
32,3,"0.8",215
33,3,"0.8",398
34,3,"0.8",489
35,3,"0.8",222
36,3,"0.8",251
37,3,"0.8",67
38,3,"0.8",434
39,3,"0.8",314
40,3,"0.8",7
41,3,"0.8",605
42,3,"0.8",315
43,3,"0.8",464
44,3,"0.8",609
45,3,"0.8",148
46,3,"0.8",233
47,3,"0.8",264
48,3,"0.8",233
49,3,"0.8",194
50,3,"0.8",328
51,3,"0.8",86
52,3,"0.8",252
53,3,"0.8",442
54,3,"0.8",282
55,3,"0.8",259
56,3,"0.8",240
57,3,"0.8",283
58,3,"0.8",531
59,3,"0.8",419
60,3,"0.8",238
61,3,"0.8",312
62,3,"0.8",240
63,3,"0.8",15
64,3,"0.8",234
65,3,"0.8",493
66,3,"0.8",299
67,3,"0.8",119
68,3,"0.8",346
69,3,"0.8",296
70,3,"0.8",36
71,3,"0.8",262
72,3,"0.8",120
73,3,"0.8",513
74,3,"0.8",239
75,3,"0.8",376
76,3,"0.8",277
77,3,"0.8",136
78,3,"0.8",149
79,3,"0.8",289
80,3,"0.8",312
81,3,"0.8",532
82,3,"0.8",125
83,3,"0.8",257
84,3,"0.8",485
85,3,"0.8",188
86,3,"0.8",613
87,3,"0.8",267
88,3,"0.8",26
89,3,"0.8",397
90,3,"0.8",453
91,3,"0.8",327
92,3,"0.8",168
93,3,"0.8",218
94,3,"0.8",207
95,3,"0.8",401
96,3,"0.8",345
97,3,"0.8",692
98,3,"0.8",476
99,3,"0.8",156
100,3,"0.8",523
1,1,"1",112
2,1,"1",5
3,1,"1",2
4,1,"1",0
5,1,"1",90
6,1,"1",6
7,1,"1",1
8,1,"1",44
9,1,"1",0
10,1,"1",41
11,1,"1",7
12,1,"1",1
13,1,"1",1
14,1,"1",1
15,1,"1",0
16,1,"1",0
17,1,"1",9
18,1,"1",1
19,1,"1",0
20,1,"1",0
21,1,"1",0
22,1,"1",0
23,1,"1",2
24,1,"1",1
25,1,"1",0
26,1,"1",0
27,1,"1",13
28,1,"1",70
29,1,"1",2
30,1,"1",0
31,1,"1",0
32,1,"1",0
33,1,"1",2
34,1,"1",0
35,1,"1",0
36,1,"1",0
37,1,"1",69
38,1,"1",0
39,1,"1",0
40,1,"1",0
41,1,"1",0
42,1,"1",0
43,1,"1",0
44,1,"1",0
45,1,"1",0
46,1,"1",27
47,1,"1",0
48,1,"1",2
49,1,"1",174
50,1,"1",0
51,1,"1",1
52,1,"1",1
53,1,"1",0
54,1,"1",0
55,1,"1",2
56,1,"1",0
57,1,"1",0
58,1,"1",50
59,1,"1",0
60,1,"1",0
61,1,"1",24
62,1,"1",127
63,1,"1",2
64,1,"1",15
65,1,"1",0
66,1,"1",2
67,1,"1",1
68,1,"1",0
69,1,"1",7
70,1,"1",1
71,1,"1",1
72,1,"1",0
73,1,"1",4
74,1,"1",0
75,1,"1",0
76,1,"1",1
77,1,"1",0
78,1,"1",1
79,1,"1",5
80,1,"1",4
81,1,"1",0
82,1,"1",0
83,1,"1",0
84,1,"1",3
85,1,"1",2
86,1,"1",59
87,1,"1",7
88,1,"1",4
89,1,"1",0
90,1,"1",2
91,1,"1",4
92,1,"1",0
93,1,"1",0
94,1,"1",5
95,1,"1",0
96,1,"1",2
97,1,"1",0
98,1,"1",2
99,1,"1",93
100,1,"1",9
1,2,"1",37
2,2,"1",0
3,2,"1",0
4,2,"1",3
5,2,"1",125
6,2,"1",0
7,2,"1",76
8,2,"1",0
9,2,"1",4
10,2,"1",0
11,2,"1",2
12,2,"1",3
13,2,"1",72
14,2,"1",2
15,2,"1",26
16,2,"1",56
17,2,"1",43
18,2,"1",1
19,2,"1",3
20,2,"1",35
21,2,"1",0
22,2,"1",2
23,2,"1",0
24,2,"1",18
25,2,"1",0
26,2,"1",0
27,2,"1",7
28,2,"1",18
29,2,"1",3
30,2,"1",0
31,2,"1",0
32,2,"1",110
33,2,"1",9
34,2,"1",1
35,2,"1",0
36,2,"1",0
37,2,"1",0
38,2,"1",1
39,2,"1",3
40,2,"1",14
41,2,"1",0
42,2,"1",0
43,2,"1",41
44,2,"1",14
45,2,"1",1
46,2,"1",116
47,2,"1",0
48,2,"1",15
49,2,"1",83
50,2,"1",28
51,2,"1",0
52,2,"1",6
53,2,"1",0
54,2,"1",5
55,2,"1",0
56,2,"1",144
57,2,"1",1
58,2,"1",5
59,2,"1",0
60,2,"1",51
61,2,"1",0
62,2,"1",140
63,2,"1",7
64,2,"1",40
65,2,"1",6
66,2,"1",0
67,2,"1",8
68,2,"1",8
69,2,"1",7
70,2,"1",3
71,2,"1",0
72,2,"1",0
73,2,"1",44
74,2,"1",3
75,2,"1",0
76,2,"1",10
77,2,"1",94
78,2,"1",151
79,2,"1",2
80,2,"1",97
81,2,"1",1
82,2,"1",9
83,2,"1",0
84,2,"1",2
85,2,"1",2
86,2,"1",6
87,2,"1",12
88,2,"1",0
89,2,"1",0
90,2,"1",7
91,2,"1",116
92,2,"1",4
93,2,"1",21
94,2,"1",2
95,2,"1",72
96,2,"1",33
97,2,"1",25
98,2,"1",0
99,2,"1",1
100,2,"1",14
1,3,"1",141
2,3,"1",79
3,3,"1",42
4,3,"1",124
5,3,"1",254
6,3,"1",320
7,3,"1",273
8,3,"1",28
9,3,"1",268
10,3,"1",88
11,3,"1",122
12,3,"1",294
13,3,"1",17
14,3,"1",248
15,3,"1",174
16,3,"1",91
17,3,"1",280
18,3,"1",236
19,3,"1",119
20,3,"1",229
21,3,"1",157
22,3,"1",105
23,3,"1",110
24,3,"1",216
25,3,"1",174
26,3,"1",191
27,3,"1",242
28,3,"1",46
29,3,"1",109
30,3,"1",110
31,3,"1",280
32,3,"1",180
33,3,"1",134
34,3,"1",133
35,3,"1",365
36,3,"1",131
37,3,"1",326
38,3,"1",120
39,3,"1",38
40,3,"1",252
41,3,"1",174
42,3,"1",269
43,3,"1",165
44,3,"1",157
45,3,"1",160
46,3,"1",281
47,3,"1",137
48,3,"1",131
49,3,"1",317
50,3,"1",44
51,3,"1",330
52,3,"1",128
53,3,"1",319
54,3,"1",339
55,3,"1",39
56,3,"1",117
57,3,"1",97
58,3,"1",3
59,3,"1",184
60,3,"1",191
61,3,"1",376
62,3,"1",41
63,3,"1",69
64,3,"1",245
65,3,"1",295
66,3,"1",111
67,3,"1",332
68,3,"1",172
69,3,"1",232
70,3,"1",184
71,3,"1",213
72,3,"1",148
73,3,"1",236
74,3,"1",74
75,3,"1",50
76,3,"1",215
77,3,"1",63
78,3,"1",90
79,3,"1",16
80,3,"1",377
81,3,"1",22
82,3,"1",266
83,3,"1",64
84,3,"1",83
85,3,"1",342
86,3,"1",49
87,3,"1",320
88,3,"1",47
89,3,"1",84
90,3,"1",154
91,3,"1",88
92,3,"1",351
93,3,"1",123
94,3,"1",311
95,3,"1",218
96,3,"1",187
97,3,"1",178
98,3,"1",122
99,3,"1",83
100,3,"1",239
